dataset,seed,method,success_rate,median_distance,median_runtime_ms
synthetic_20,10,treesat_exact,1.0,0.5299893962963127,0.07280000136233866
synthetic_20,11,nearest_neighbor,1.0,3.9003934793751283,0.022499996703118086
synthetic_20,11,random_search,1.0,1.2133833053869356,0.37369999336078763
synthetic_20,11,treesat_exact,1.0,0.5206689428081466,0.0754999928176403
synthetic_20,12,nearest_neighbor,1.0,3.4828964214523377,0.0247000134550035
synthetic_20,12,random_search,1.0,0.9129938734431438,0.3880500007653609
synthetic_20,12,treesat_exact,1.0,0.40984119329967794,0.072750000981614
synthetic_20,13,nearest_neighbor,1.0,3.842179028061043,0.02340000355616212
synthetic_20,13,random_search,1.0,1.531031603886468,0.3793500072788447
synthetic_20,13,treesat_exact,1.0,0.5411426769000351,0.07234999793581665
synthetic_20,14,nearest_neighbor,1.0,3.760520686254329,0.02230000973213464
synthetic_20,14,random_search,0.9666666666666667,1.7081437031244344,0.35999999090563506
synthetic_20,14,treesat_exact,1.0,0.5446238150526683,0.06605000817216933
synthetic_20,15,nearest_neighbor,1.0,3.4961550130353602,0.023950007744133472
synthetic_20,15,random_search,1.0,1.6771205365621351,0.37170000723563135
synthetic_20,15,treesat_exact,1.0,0.6275385760501664,0.07105000258889049
synthetic_20,16,nearest_neighbor,1.0,3.711537247425178,0.024549997760914266
synthetic_20,16,random_search,1.0,1.7823844669852946,0.3941000031773001
synthetic_20,16,treesat_exact,1.0,0.640418068782969,0.08670000534038991
synthetic_20,17,nearest_neighbor,1.0,3.626237521460582,0.02955000672955066
synthetic_20,17,random_search,1.0,1.67070295196599,0.47759999870322645
synthetic_20,17,treesat_exact,1.0,0.6621500507961369,0.09914999827742577
synthetic_20,18,nearest_neighbor,1.0,3.402462145537854,0.022899999748915434
synthetic_20,18,random_search,1.0,1.0700053642321563,0.3623999946285039
synthetic_20,18,treesat_exact,1.0,0.46414360874476485,0.06814999505877495
synthetic_20,19,nearest_neighbor,1.0,3.328387941698846,0.023150001652538776
synthetic_20,19,random_search,1.0,1.186895824730696,0.3638999769464135
synthetic_20,19,treesat_exact,1.0,0.35815714809684923,0.06575000588782132
wine_binary,0,nearest_neighbor,1.0,3.6618344634869837,0.010150004527531564
wine_binary,0,random_search,1.0,2.548563156948541,0.342100000125356
wine_binary,0,treesat_exact,1.0,1.092659381578632,0.056899996707215905
wine_binary,1,nearest_neighbor,1.0,3.549453961665469,0.009899988071992993
wine_binary,1,random_search,1.0,2.23950178384316,0.33080001594498754
wine_binary,1,treesat_exact,1.0,0.9475285690572746,0.05520001286640763
wine_binary,2,nearest_neighbor,1.0,3.5537664454386055,0.009800001862458885
wine_binary,2,random_search,0.9,2.2330328135647304,0.3279999946244061
wine_binary,2,treesat_exact,0.9666666666666667,0.983263553868707,0.05370000144466758
wine_binary,3,nearest_neighbor,1.0,3.4970142751727162,0.009900002623908222
wine_binary,3,random_search,1.0,2.271777080838233,0.3263000107835978
wine_binary,3,treesat_exact,1.0,0.8626048854083619,0.05294999573379755
wine_binary,4,nearest_neighbor,1.0,4.027628366476835,0.011299998732283711
wine_binary,4,random_search,0.9666666666666667,2.6215538802789906,0.3564500075299293
wine_binary,4,treesat_exact,1.0,1.1850429777763944,0.059999991208314896
wine_binary,5,nearest_neighbor,1.0,3.889828476506254,0.011050011380575597
wine_binary,5,random_search,1.0,1.6027805290206405,0.3498500009300187
wine_binary,5,treesat_exact,1.0,0.9808295668034308,0.08425000123679638
wine_binary,6,nearest_neighbor,1.0,3.6410117375064712,0.013299999409355223
wine_binary,6,random_search,1.0,1.6236385527269643,0.42224999924656004
wine_binary,6,treesat_exact,1.0,0.9564434581630337,0.0840499997138977
wine_binary,7,nearest_neighbor,1.0,3.324306893681671,0.009300012607127428
wine_binary,7,random_search,0.9333333333333333,1.3393691592912642,0.32029999420046806
wine_binary,7,treesat_exact,1.0,0.709980651867844,0.050399990868754685
wine_binary,8,nearest_neighbor,1.0,3.731733261185268,0.011000010999850929
wine_binary,8,random_search,1.0,1.8562574583649278,0.35945000126957893
wine_binary,8,treesat_exact,1.0,0.877946244791801,0.06630001007579267
wine_binary,9,nearest_neighbor,1.0,3.975248432087741,0.009750001481734216
wine_binary,9,random_search,1.0,2.5210586430669877,0.3229999856557697
wine_binary,9,treesat_exact,1.0,1.1344304666986789,0.056949997087940574
wine_binary,10,nearest_neighbor,1.0,3.8843682046181796,0.010350006050430238
wine_binary,10,random_search,1.0,1.7175547719285558,0.3277999931015074
wine_binary,10,treesat_exact,1.0,0.8108968541201428,0.05535001400858164
wine_binary,11,nearest_neighbor,1.0,3.2540542979789753,0.01479999627918005
wine_binary,11,random_search,0.9666666666666667,2.429793700053629,0.6325499998638406
