dataset,seed,query_id,method,runtime_ms,distance_l2,success
breast_cancer,2,1,nearest_neighbor,0.013500000932253897,2.722710749537017,1
breast_cancer,2,1,random_search,0.5966000007902039,0.914279614888326,1
breast_cancer,2,2,treesat_exact,0.08479999996779952,0.22693482793408196,1
breast_cancer,2,2,nearest_neighbor,0.023800001144991256,1.9285794249802226,1
breast_cancer,2,2,random_search,0.4709999993792735,0.92582174172458,1
breast_cancer,2,3,treesat_exact,0.06159999975352548,0.7811370400864489,1
breast_cancer,2,3,nearest_neighbor,0.014000001101521775,2.3900333643834992,1
breast_cancer,2,3,random_search,0.37990000055287965,3.9134577067999174,1
breast_cancer,2,4,treesat_exact,0.06310000026132911,0.009555348180530387,1
breast_cancer,2,4,nearest_neighbor,0.02229999881819822,1.6852189737929928,1
breast_cancer,2,4,random_search,0.4305000002204906,0.18979727973349653,1
breast_cancer,2,5,treesat_exact,0.15729999904579017,0.3878828578922162,1
breast_cancer,2,5,nearest_neighbor,0.014600000213249587,5.3549419451772495,1
breast_cancer,2,5,random_search,0.3904999994119862,1.764860740252232,1
breast_cancer,2,6,treesat_exact,0.056200000472017564,0.2057765214558464,1
breast_cancer,2,6,nearest_neighbor,0.017899999875226058,2.7489444943700225,1
breast_cancer,2,6,random_search,0.39739999920129776,0.523978866036007,1
breast_cancer,2,7,treesat_exact,0.07970000115165021,0.6025155410236184,1
breast_cancer,2,7,nearest_neighbor,0.013099999705445953,2.988252929039207,1
breast_cancer,2,7,random_search,0.700100001267856,2.0482285981670048,1
breast_cancer,2,8,treesat_exact,0.06969999958528206,0.29040674120695154,1
breast_cancer,2,8,nearest_neighbor,0.01759999940986745,2.8829950861442057,1
breast_cancer,2,8,random_search,0.43480000022100285,1.0310231593088302,1
breast_cancer,2,9,treesat_exact,0.059899999541812576,1.0141024829528662,1
breast_cancer,2,9,nearest_neighbor,0.013799999578623101,3.597568326480583,1
breast_cancer,2,9,random_search,0.384900000426569,4.356740409889648,1
breast_cancer,2,10,treesat_exact,0.06880000000819564,0.5449630364149534,1
breast_cancer,2,10,nearest_neighbor,0.019199998860131018,2.920385303630522,1
breast_cancer,2,10,random_search,0.3895999998348998,1.799536482032904,1
breast_cancer,2,11,treesat_exact,0.05419999979494605,0.2727273498387093,1
breast_cancer,2,11,nearest_neighbor,0.013099999705445953,3.10789288449881,1
breast_cancer,2,11,random_search,0.3956000000471249,1.0649715247374438,1
breast_cancer,2,12,treesat_exact,0.05360000068321824,1.2607574453333235,1
breast_cancer,2,12,nearest_neighbor,0.012900000001536682,6.415117799631398,1
breast_cancer,2,12,random_search,0.3775000004679896,4.546822079663098,1
breast_cancer,2,13,treesat_exact,0.05410000085248612,0.29179404263964037,1
breast_cancer,2,13,nearest_neighbor,0.012800001059076749,2.5412847383465267,1
breast_cancer,2,13,random_search,0.39199999991978984,0.886287739960718,1
breast_cancer,2,14,treesat_exact,0.055100001191021875,0.6484993698870185,1
breast_cancer,2,14,nearest_neighbor,0.01669999983278103,2.623639153087569,1
breast_cancer,2,14,random_search,0.5660000006173505,2.2209185166510315,1
breast_cancer,2,15,treesat_exact,0.07689999983995222,0.5993498166945225,1
breast_cancer,2,15,nearest_neighbor,0.019099999917671084,7.892205466350007,1
breast_cancer,2,15,random_search,0.5017999992560362,2.394989032552348,1
breast_cancer,2,16,treesat_exact,0.06010000106471125,0.313303002159265,1
breast_cancer,2,16,nearest_neighbor,0.01449999945180025,2.275562048769582,1
breast_cancer,2,16,random_search,0.4079999998793937,1.0986718682284091,1
breast_cancer,2,17,treesat_exact,0.11379999887140002,0.8793293732285091,1
breast_cancer,2,17,nearest_neighbor,0.02640000093379058,4.082294288507017,1
breast_cancer,2,17,random_search,0.41260000034526456,2.3059851365642254,1
breast_cancer,2,18,treesat_exact,0.06089999988034833,0.7640490639720341,1
breast_cancer,2,18,nearest_neighbor,0.013099999705445953,2.1415313818102426,1
