dataset,seed,query_id,noise_sigma,runtime_ms,success,distance_l2,clean_distance_l2,distance_inflation
breast_cancer,0,4,0.0,0.047600013203918934,1,0.6601184594418911,0.6601184594418911,1.0
breast_cancer,0,4,0.01,0.04770001396536827,1,0.6616448794591663,0.6601184594418911,1.002312342573431
breast_cancer,0,4,0.03,0.047999987145885825,1,0.616922160276831,0.6601184594418911,0.9345628068004929
breast_cancer,0,4,0.05,0.04889999399892986,1,0.6158629871086446,0.6601184594418911,0.9329582869555518
breast_cancer,0,4,0.1,0.049299997044727206,1,0.48993722807515094,0.6601184594418911,0.7421959211523597
breast_cancer,0,5,0.0,0.05080000846646726,1,0.9094039413296275,0.9094039413296275,1.0
breast_cancer,0,5,0.01,0.05040000542066991,1,0.9082322360513766,0.9094039413296275,0.9987115678468055
breast_cancer,0,5,0.03,0.05020000389777124,1,0.8403980535655511,0.9094039413296275,0.9241196517543305
breast_cancer,0,5,0.05,0.04959999932907522,1,0.9109811045451316,0.9094039413296275,1.0017342823621351
breast_cancer,0,5,0.1,0.04939999780617654,1,0.7585179420783194,0.9094039413296275,0.8340825320916251
breast_cancer,0,6,0.0,0.048299989430233836,1,0.21123522013801876,0.21123522013801876,1.0
breast_cancer,0,6,0.01,0.047600013203918934,1,0.20130335909975167,0.21123522013801876,0.9529819836304868
breast_cancer,0,6,0.03,0.04809998790733516,1,0.23390932565919972,0.21123522013801876,1.1073405538449788
breast_cancer,0,6,0.05,0.04839999019168317,1,0.13692459035117732,0.21123522013801876,0.6482090925069801
breast_cancer,0,6,0.1,0.04700000863522291,1,0.288174241438657,0.21123522013801876,1.3642338680565065
breast_cancer,0,7,0.0,0.04730001091957092,1,0.14395756171718663,0.14395756171718663,1.0
breast_cancer,0,7,0.01,0.04710000939667225,1,0.1433103392714813,0.14395756171718663,0.9955040746871162
breast_cancer,0,7,0.03,0.04780001472681761,1,0.1590834810273982,0.14395756171718663,1.1050720721425342
breast_cancer,0,7,0.05,0.04839999019168317,1,0.13873039832706727,0.14395756171718663,0.9636895531727021
breast_cancer,0,7,0.1,0.047299981815740466,1,0.2673490249156321,0.14395756171718663,1.857137768426889
breast_cancer,0,8,0.0,0.04919999628327787,1,0.3819255717906263,0.3819255717906263,1.0
breast_cancer,0,8,0.01,0.051099981646984816,1,0.38338639600398305,0.3819255717906263,1.0038248923907027
breast_cancer,0,8,0.03,0.05160001455806196,1,0.3886964833400658,0.3819255717906263,1.017728353505356
breast_cancer,0,8,0.05,0.04889999399892986,1,0.3362993657459705,0.3819255717906263,0.8805363939608937
breast_cancer,0,8,0.1,0.048999994760379195,1,0.23445439418805844,0.3819255717906263,0.6138745648500007
breast_cancer,0,9,0.0,0.04759998410008848,1,0.8073222816419373,0.8073222816419373,1.0
breast_cancer,0,9,0.01,0.04889999399892986,1,0.8264121686906071,0.8073222816419373,1.0236459311018204
breast_cancer,0,9,0.03,0.047699984861537814,1,0.7677925415169995,0.8073222816419373,0.9510359852269381
breast_cancer,0,9,0.05,0.0481999886687845,1,0.7943286505345096,0.8073222816419373,0.9839052737637798
breast_cancer,0,9,0.1,0.04710000939667225,1,0.7650452940476572,0.8073222816419373,0.9476330722492919
breast_cancer,0,10,0.0,0.046600005589425564,1,0.6625935131989326,0.6625935131989326,1.0
breast_cancer,0,10,0.01,0.04779998562298715,1,0.670042497091971,0.6625935131989326,1.011242162418819
breast_cancer,0,10,0.03,0.04700000863522291,1,0.6579709130463541,0.6625935131989326,0.9930234750861641
breast_cancer,0,10,0.05,0.047200010158121586,1,0.6231508127567608,0.6625935131989326,0.9404722508499268
breast_cancer,0,10,0.1,0.0475000124424696,1,0.6783039326657494,0.6625935131989326,1.0237104939210295
breast_cancer,0,11,0.0,0.04659997648559511,1,0.3490222148950938,0.3490222148950938,1.0
breast_cancer,0,11,0.01,0.04770001396536827,1,0.3545736928197166,0.3490222148950938,1.0159058010857316
breast_cancer,0,11,0.03,0.04789998638443649,1,0.31510995908620076,0.3490222148950938,0.9028363973362381
breast_cancer,0,11,0.05,0.04700000863522291,1,0.24558345808343798,0.3490222148950938,0.7036327419939543
breast_cancer,0,11,0.1,0.04779998562298715,1,0.33578506117057294,0.3490222148950938,0.9620736068949091
breast_cancer,0,12,0.0,0.04889999399892986,1,1.8000714418069625,1.8000714418069625,1.0
breast_cancer,0,12,0.01,0.04939999780617654,1,1.80476705750529,1.8000714418069625,1.0026085718540225
breast_cancer,0,12,0.03,0.048699992476031184,1,1.7659398834443853,1.8000714418069625,0.9810387757008605
breast_cancer,0,12,0.05,0.048999994760379195,1,1.8449157210262752,1.8000714418069625,1.024912499680733
breast_cancer,0,12,0.1,0.05370000144466758,1,1.936780937553702,1.8000714418069625,1.0759467055427014
breast_cancer,0,13,0.0,0.047900015488266945,1,0.005617907741239991,0.005617907741239991,1.0
breast_cancer,0,13,0.01,0.049700000090524554,1,0.0,0.005617907741239991,0.0
breast_cancer,0,13,0.03,0.04780001472681761,1,0.0,0.005617907741239991,0.0
breast_cancer,0,13,0.05,0.04779998562298715,1,0.034539817834145614,0.005617907741239991,6.148163947334946
breast_cancer,0,13,0.1,0.04879999323748052,1,0.00916350194629114,0.005617907741239991,1.6311236083539815
breast_cancer,0,14,0.0,0.07660000119358301,1,0.5012048658208184,0.5012048658208184,1.0
breast_cancer,0,14,0.01,0.07619999814778566,1,0.5063153531517809,0.5012048658208184,1.01019640406442
breast_cancer,0,14,0.03,0.07730000652372837,1,0.5109867730470259,0.5012048658208184,1.0195167842398891
breast_cancer,0,14,0.05,0.07599999662488699,1,0.42923433975552716,0.5012048658208184,0.8564049733487209
breast_cancer,0,14,0.1,0.07719997665844858,1,0.6299571883690366,0.5012048658208184,1.256885619690387
breast_cancer,0,15,0.0,0.047999987145885825,1,0.4604641230405395,0.4604641230405395,1.0
breast_cancer,0,15,0.01,0.0473999825771898,1,0.4713812398167161,0.4604641230405395,1.0237089411094367
breast_cancer,0,15,0.03,0.04749998333863914,1,0.44368462188964486,0.4604641230405395,0.9635595906145822
breast_cancer,0,15,0.05,0.04859999171458185,1,0.3807037259465683,0.4604641230405395,0.8267826023723698
breast_cancer,0,15,0.1,0.047600013203918934,1,0.49727540441086016,0.4604641230405395,1.079943864306405
breast_cancer,0,16,0.0,0.07670000195503235,1,0.7215512337198684,0.7215512337198684,1.0
breast_cancer,0,16,0.01,0.08460000390186906,1,0.7488051473171033,0.7215512337198684,1.0377712798808905
breast_cancer,0,16,0.03,0.1367000222671777,1,0.7282056063392095,0.7215512337198684,1.0092223147967405
breast_cancer,0,16,0.05,0.07819998427294195,1,0.7167694635565516,0.7215512337198684,0.9933729305143517
breast_cancer,0,16,0.1,0.07780001033097506,1,0.7875668069092919,0.7215512337198684,1.0914911791489683
breast_cancer,0,17,0.0,0.048999994760379195,1,0.4200224502506859,0.4200224502506859,1.0
breast_cancer,0,17,0.01,0.04850002005696297,1,0.4256307135291902,0.4200224502506859,1.0133522940860828
breast_cancer,0,17,0.03,0.04840001929551363,1,0.42726027523805865,0.4200224502506859,1.0172319955351266
breast_cancer,0,17,0.05,0.048299989430233836,1,0.4081926807766935,0.4200224502506859,0.9718353876871774
breast_cancer,0,17,0.1,0.048299989430233836,1,0.4674083163678609,0.4200224502506859,1.1128174603259737
breast_cancer,0,18,0.0,0.047699984861537814,1,0.5052968245952338,0.5052968245952338,1.0
breast_cancer,0,18,0.01,0.04770001396536827,1,0.49561661048463834,0.5052968245952338,0.9808425194075783
breast_cancer,0,18,0.03,0.24470000062137842,1,0.5081668442561825,0.5052968245952338,1.005679868784546
breast_cancer,0,18,0.05,0.086199986981228,1,0.5397946133363966,0.5052968245952338,1.0682723244279182
breast_cancer,0,18,0.1,0.06640001083724201,1,0.5160958764981778,0.5052968245952338,1.021371699518584
breast_cancer,0,19,0.0,0.07719997665844858,1,0.40126902024768235,0.40126902024768235,1.0
breast_cancer,0,19,0.01,0.11760002234950662,1,0.3944085760313808,0.40126902024768235,0.9829031301442933
breast_cancer,0,19,0.03,0.06489999941550195,1,0.375915801137506,0.40126902024768235,0.9368174022142872
breast_cancer,0,19,0.05,0.05800000508315861,1,0.3624777325576384,0.40126902024768235,0.9033284760779685
breast_cancer,0,19,0.1,0.05509998300112784,1,0.5676662007390971,0.40126902024768235,1.4146773662933323
breast_cancer,0,20,0.0,0.05020000389777124,1,0.767389476522393,0.767389476522393,1.0
breast_cancer,0,20,0.01,0.051000009989365935,1,0.7482499562408567,0.767389476522393,0.9750589226630112
breast_cancer,0,20,0.03,0.050300004659220576,1,0.7995302654049279,0.767389476522393,1.041883280740555
breast_cancer,0,20,0.05,0.049799971748143435,1,0.7571797385034272,0.767389476522393,0.9866954938381047
breast_cancer,0,20,0.1,0.23460001102648675,1,0.6813415524520112,0.767389476522393,0.8878692936208504
breast_cancer,0,21,0.0,0.2682000049389899,1,0.38765629168756727,0.38765629168756727,1.0
breast_cancer,0,21,0.01,0.38070001755841076,1,0.3915658234754818,0.38765629168756727,1.0100850466553641
